"filename", "language", "C++", "JSON", "Markdown", "Dart", "YAML", "Swift", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\textfield.dart", "Dart", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 4, 45
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\shared\widgets\warnings\warning_snackbar.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\admin\question_screen.dart", "Dart", 0, 0, 0, 295, 0, 0, 0, 0, 0, 0, 2, 9, 306
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\auth\login_screen.dart", "Dart", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 1, 11, 176
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\auth\register_screen.dart", "Dart", 0, 0, 0, 255, 0, 0, 0, 0, 0, 0, 2, 14, 271
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\auth\welcome_screen.dart", "Dart", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 3, 4, 123
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\'questionary_detail_screen.dart';.dart", "Dart", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 3, 11, 139
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\add_questionary_screen.dart", "Dart", 0, 0, 0, 358, 0, 0, 0, 0, 0, 0, 10, 11, 379
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\home_screen.dart", "Dart", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 8, 22, 241
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\profile_screen.dart", "Dart", 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 18, 7, 213
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\settings_screen.dart", "Dart", 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 2, 15, 268
"c:\Users\Kadir\OneDrive\Escritorio\edupro\lib\ui\views\home\statistics_screen.dart", "Dart", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 3, 10, 230
"c:\Users\Kadir\OneDrive\Escritorio\edupro\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\Kadir\OneDrive\Escritorio\edupro\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
